Name,Description,Property 1 Type,Property 1 Name,Property 1 Value,Property 2 Type,Property 2 Name,Property 2 Value,Property 3 Type,Property 3 Name,Property 3 Value,Property 4 Type,Property 4 Name,Property 4 Value,Property 5 Type,Property 5 Name,Property 5 Value,Property 6 Type,Property 6 Name,Property 6 Value,Property 7 Type,Property 7 Name,Property 7 Value
LemonMeringuePie,Lemon AND meringue?!? In my pie???,string,isa,LemonMeringuePie,string,isa,Pie,string,isa,Food,string,contains,Lemon,string,isa,Dessert,,,,,,
ApplePie,A healthy treat!,string,isa,ApplePie,string,isa,Pie,string,isa,Food,string,contains,Apple,string,isa,Dessert,,,,,,
Pickle,Quite a pickle we're in...,string,isa,Pickle,string,isa,Vegetable,string,isa,Food,string,is,Sour,string,is,Green,,,,,,
Pretzel,I remember the last time I was twisted like a pretzel...,string,isa,Pretzel,string,isa,Bread,string,isa,Food,string,contains,Gluten,string,is,Salty,,,,,,
Salami,Not to be confused with pepperoni.,string,isa,Salami,string,isa,Meat,string,isa,Food,string,is,Salty,string,is,Stinky,,,,,,
SalmonFillet,Filet 'O' Fish,string,isa,SalmonFillet,string,isa,Food,string,isa,Fish,,,,,,,,,,,,
JarOfHoney,Hmm... a honeypot? Nothing suspicious here.,string,isa,JarOfHoney,string,isa,Food,string,isa,Jar,string,contains,Honey,,,,,,,,,
Cantelope,The weakest of all melons.,string,isa,Cantelope,string,isa,Food,string,isa,Fruit,string,is,Yellow,,,,,,,,,
Watermelon,Must spit out the seeds...,string,isa,Watermelon,string,isa,Food,string,isa,Fruit,string,is,Green,,,,,,,,,
Waffles,A waffle-y good meal!,string,isa,Waffles,string,isa,Food,string,isa,Bread,string,contains,Gluten,string,isa,Dessert,,,,,,
ChickenDrumstick,Used to play the chicken drums.,string,isa,ChickenDrumstick,string,isa,Food,string,isa,Meat,,,,,,,,,,,,
Cherry,"Careful, you'll pop it!",string,isa,Fruit,string,isa,Food,string,isa,Cherry,string,is,Red,string,is,Chicken,,,,,,
PorkRibs,Why did the pig get these removed?,string,isa,PorkRibs,string,isa,Food,string,isa,Meat,string,is,Pork,,,,,,,,,
Dragonfruit,It's got a bite to it!,string,isa,Dragonfruit,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,,,,
Sausages,I'd love a fry-up...,string,isa,Sausages,string,isa,Meat,string,isa,Food,string,is,Pork,,,,,,,,,
Avocado,No toast?,string,isa,Avocado,string,isa,Fruit,string,isa,Food,string,is,Green,,,,,,,,,
Liver,"Liver, laugh, love!",string,isa,Liver,string,isa,Food,string,isa,Meat,string,is,Disgusting,,,,,,,,,
Olive,Olive this walking around is making me hungry!,string,isa,Olive,string,isa,Food,string,isa,Vegetable,string,is,Green,,,,,,,,,
LoafOfBread,The next best thing to sliced bread.,string,isa,LoafOfBread,string,isa,Food,string,isa,Bread,string,contains,Gluten,string,contains,SliceOfBread,,,,,,
Onion,It has layers.,string,isa,Onion,string,isa,Food,string,isa,Vegetable,string,is,Stinky,,,,,,,,,
Pickaxe,It's not like other axes.,string,isa,Weapon,string,isa,Pickaxe,string,isa,Tool,string,is,Metal,string,is,Pointy,,,,,,
Shortsword,Size doesn't matter.,string,isa,Shortsword,string,isa,Weapon,string,is,Sharp,string,is,Metal,,,,,,,,,
Shovel,Let's see if I can dig myself out of this mess!,string,isa,Shovel,string,isa,Weapon,string,isa,Tool,string,is,Metal,,,,,,,,,
Battleaxe,And my axe!,string,isa,Battleaxe,string,isa,Weapon,string,is,Sharp,string,is,Metal,string,is,Heavy,,,,,,
Axe,There don't seem to be any lumberjacks around...,string,isa,Axe,string,isa,Weapon,string,isa,Tool,string,is,Sharp,string,is,Metal,,,,,,
WateringCan,Watering can do what?,string,isa,WateringCan,string,isa,Container,string,contains,Empty,string,is,Metal,,,,,,,,,
FishingRod,Teach a man to fish and he won't shut up about it.,string,isa,FishingRod,string,isa,Tool,string,contain,String,,,,,,,,,,,,
SteelOre,"Unrefined steel, needs processing.",string,isa,SteelOre,string,isa,Metal,string,is,Heavy,,,,,,,,,,,,
GoldOre,"Unrefined gold, needs processing.",string,isa,GoldOre,string,isa,Metal,string,is,Heavy,string,is,Valuable,,,,,,,,,
IronOre,"Unrefined iron, needs processing.",string,isa,IronOre,string,isa,Metal,string,is,Heavy,,,,,,,,,,,,
BronzeOre,"Unrefined bronze, needs processing.",string,isa,BronzeOre,string,isa,Metal,string,is,Heavy,,,,,,,,,,,,
Rock,...and roll.,string,isa,Rock,string,is,Heavy,string,is,Rock,,,,,,,,,,,,
Stones,Can kill at least two birds!,string,isa,Stones,string,contains,Stones,string,is,Rock,,,,,,,,,,,,
Stick,Pointy!,string,isa,Stick,string,is,Pointy,,,,,,,,,,,,,,,
Key,It's a key!,string,isa,Key,string,is,Valuable,string,is,Metal,,,,,,,,,,,,
RubyKey,It's a special key!,string,isa,RubyKey,string,is,Magic,string,is,Valuable,string,isa,Key,string,is,Metal,,,,,,
Lock,Needs a key!,string,isa,Lock,string,is,Locked,string,is,Metal,,,,,,,,,,,,
Letter,What could it say? Best not read it...,string,isa,Letter,string,is,Paper,,,,,,,,,,,,,,,
TornLetter,Can't read any of this...,string,isa,TornLetter,string,isa,Letter,string,is,Paper,,,,,,,,,,,,
Envelope,I don't think I'm allowed to open this...,string,isa,Envelope,string,contains,Empty,string,is,Paper,,,,,,,,,,,,
BlueBottle,It's a blue bottle of blue potion!,string,isa,Bottle,string,contains,BluePotion,string,is,Magic,string,isa,BlueBottle,string,is,Blue,string,isa,Potion,string,is,Fragile
RedBottle,It's a red bottle of red potion!,string,isa,RedBottle,string,isa,Bottle,string,contains,RedPotion,string,is,Magic,string,is,Red,string,isa,Potion,string,is,Fragile
PurpleBottle,It's a purple bottle of purple potion!,string,isa,PurpleBottle,string,isa,Bottle,string,contains,PurplePotion,string,is,Magic,string,is,Purple,string,isa,Potion,string,is,Fragile
GreenBottle,It's a green bottle of green potion!,string,isa,GreenBottle,string,isa,Bottle,string,contains,GreenPotion,string,is,Magic,string,is,Green,string,isa,Potion,string,is,Fragile
Pouch,Nothing interesting inside...,string,isa,Pouch,string,isa,Container,string,is,Empty,,,,,,,,,,,,
Cog,Must have fallen out of a machine...,string,isa,Cog,string,is,Metal,,,,,,,,,,,,,,,
Lantern,Light my way!,string,isa,Latern,string,isa,Lightsource,string,contains,Candle,string,is,Fragile,,,,,,,,,
Anvil,Seeking hammer.,string,isa,Anvil,string,is,Heavy,string,is,Metal,,,,,,,,,,,,
BoxOfTomatoes,"You say box of tomatoes, I say box of tomatoes.",string,isa,BoxOfTomatoes,string,isa,Container,string,isa,Box,string,contains,Tomato,,,,,,,,,
BoxOfWheat,It's full of wheat!,string,isa,BoxOfWheat,string,isa,Container,string,isa,Box,string,contains,Wheat,,,,,,,,,
Box,Nothing interesting inside.,string,isa,Box,string,isa,Container,string,contains,Empty,string,madeOf,Wood,,,,,,,,,
Barrel,Nothing interesting inside.,string,isa,Barrel,string,isa,Container,string,contains,Empty,string,madeOf,Wood,,,,,,,,,
Hourglass,Can this be broken into minuteglasses?,string,isa,Hourglass,string,is,Glass,string,contains,Sand,string,is,Fragile,,,,,,,,,
Pot,Not that kind of pot.,string,isa,Pot,string,isa,Container,string,contains,Empty,string,is,Fragile,,,,,,,,,
CookingPot,"Bubble bubble, toil and trouble.",string,isa,CookingPot,string,isa,Pot,string,isa,Container,string,contains,Empty,,,,,,,,,
Jar,Like a pot but not!,string,isa,Jar,string,isa,Container,string,contains,Empty,,,,,,,,,,,,
Chest,Sounds a bit chesty.,string,isa,Chest,string,isa,Container,string,is,Locked,string,contains,Empty,string,madeOf,Wood,,,,,,
OpenBook,Ask me anything.,string,isa,Book,string,is,Paper,string,is,Open,,,,,,,,,,,,
Book,No time for reading.,string,isa,Book,string,is,Paper,string,is,Closed,,,,,,,,,,,,
GoldBar,It's a gold bar!,string,isa,GoldBar,string,is,Valuable,string,is,Gold,string,is,Heavy,,,,,,,,,
RedPotion,It's a red potion!,string,isa,RedPotion,string,is,Magic,string,is,Red,string,isa,Potion,string,is,Fragile,,,,,,
BluePotion,It's a blue potion!,string,isa,BluePotion,string,is,Mgaic,string,is,Blue,string,isa,Potion,string,is,Fragile,,,,,,
GreenPotion,It's a green potion!,string,isa,GreenPotion,string,is,Magic,string,is,Green,string,isa,Potion,string,is,Fragile,,,,,,
Houseplant,Is it house-trained?,string,isa,HousePlant,string,isa,Plant,string,is,Green,,,,,,,,,,,,
Bowl,Nothing interesting inside.,string,isa,Bowl,string,isa,Container,string,contains,Empty,string,is,Fragile,,,,,,,,,
ChoppingBoard,You've been chopped!,string,isa,ChoppingBoard,string,madeOf,Wood,,,,,,,,,,,,,,,
Lute,Can I play Wonderwall on this?,string,isa,Lute,string,isa,Instrument,,,,,,,,,,,,,,,
SewingNeedle,I'm sure I could squeeze a camel through the eye of this...,string,isa,SewingNeedle,string,isa,Tool,string,is,Sharp,string,is,Pointy,,,,,,,,,
PestleAndMortar,Can make any powder you want!,string,isa,PestleAndMortar,string,isa,Tool,string,madeOf,Rock,,,,,,,,,,,,
Saw,Let's play a game...,string,isa,Saw,string,isa,Tool,string,isa,Weapon,string,is,Sharp,,,,,,,,,
Boomerang,Right back at ya!,string,isa,Boomerang,string,isa,Weapon,string,madeOf,Wood,,,,,,,,,,,,
Bow,And my bow!,string,isa,Bow,string,isa,Weapon,string,madeOf,Wood,,,,,,,,,,,,
Arrow,Don't you point that thing at me!,string,isa,Arrow,string,isa,Ammunition,string,is,Sharp,,,,,,,,,,,,
Pliers,Pliers are for plucking.,string,isa,Pliers,string,isa,Tool,string,is,Sharp,,,,,,,,,,,,
Hammer,Seeks anvil.,string,isa,Hammer,string,isa,Tool,string,isa,Weapon,string,is,Heavy,,,,,,,,,
Scythe,You always reap what you sow.,string,isa,Scythe,string,isa,Tool,string,is,Sharp,,,,,,,,,,,,
Scoop,It's a scoop!,string,isa,Scoop,string,isa,Tool,,,,,,,,,,,,,,,
Bucket,It's at the end of my list!,string,isa,Bucket,string,isa,Container,string,contains,Empty,,,,,,,,,,,,
Staff,It's a staff!,string,isa,Staff,string,is,Magic,string,isa,Weapon,string,isa,Tool,,,,,,,,,
EmeraldNecklace,It's an emerald necklace!,string,isa,EmeraldNecklace,string,is,Magic,string,is,Valuable,string,contains,Emerald,string,isa,Necklace,string,isa,Jewellry,,,
EmeraldBracelet,It's an emerald bracelet!,string,isa,EmeraldBracelet,string,is,Magic,string,is,Valuable,string,contains,Emerald,string,isa,Bracelet,string,isa,Jewellry,,,
RubyBracelet,It's a ruby bracelet!,string,isa,RubyBracelet,string,is,Magic,string,is,Valuable,string,contains,Ruby,string,isa,Bracelet,string,isa,Jewellry,,,
EmeraldEarrings,It's a some emerald earrings!,string,isa,EmeraldEarrings,string,is,Magic,string,is,Valuable,string,contains,Emerald,string,isa,Earrings,string,isa,Jewellry,,,
RubyRing,It's a ruby ring!,string,isa,RubyRing,string,is,Magic,string,is,Valuable,string,contains,Ruby,string,isa,Ring,string,isa,Jewellry,,,
Crown,Heavy is the head...,string,isa,Crown,string,is,Valuable,string,isa,Hat,string,is,Heavy,,,,,,,,,
Goblet,Nothing interesting inside.,string,isa,Goblet,string,isa,Container,string,contains,Empty,string,is,Valuable,,,,,,,,,
MagicBook,It's a magic book!,string,isa,MagicBook,string,isa,Book,string,is,Magic,string,is,Paper,,,,,,,,,
EmeraldRing,It's an emerald ring!,string,isa,EmeraldRing,string,isa,Ring,string,is,Valuable,string,contains,Emerald,string,is,Magic,string,is,Jewellry,,,
LeatherPants,It's a pair of leather pants!,string,isa,LeatherPants,string,isa,Pants,string,madeOf,Leather,string,is,Clothes,,,,,,,,,
LeatherShirt,It's a leather shirt!,string,isa,LeatherShirt,string,isa,Shirt,string,madeOf,Leather,string,is,Clothes,,,,,,,,,
LeatherGloves,It's a pair of leather gloves!,string,isa,LeatherGloves,string,isa,Gloves,string,madeOf,Leather,string,is,Clothes,,,,,,,,,
LeatherBoots,It's a pair of leather boots!,string,isa,LeatherBoots,string,isa,Boots,string,madeOf,Leather,string,is,Shoes,,,,,,,,,
KnightHelmet,It's a knight's helmet!,string,isa,KnightHelmet,string,isa,Helmet,string,is,Metal,string,is,Armour,,,,,,,,,
ChainmailShirt,It's a chainmail shirt!,string,isa,ChainmailShirt,string,isa,Shirt,string,is,Metal,string,is,Armour,,,,,,,,,
ArmourPants,It's a pair of armoured pants!,string,isa,ArmourPants,string,isa,Pants,string,is,Metal,string,is,Armour,,,,,,,,,
Chestplate,It's a chestplate!,string,isa,Chestplate,string,is,Armour,string,is,Metal,,,,,,,,,,,,
LinenShirt,It's a linen shirt!,string,isa,LinenShirt,string,isa,Shirt,string,madeOf,Linen,string,is,Clothes,,,,,,,,,
WhiteRobe,It's a white robe!,string,isa,WhiteRobe,string,isa,Robe,string,madeOf,Cotton,string,is,Clothes,string,is,White,,,,,,
StrawHat,It's a straw hat!,string,isa,StrawHat,string,isa,Hat,string,madeOfStraw,,,,,,,,,,,,,
Cape,It's a cape!,string,isa,Cape,string,is,Clothes,,,,,,,,,,,,,,,
DarkRobes,It's some dark robes!,string,isa,DarkRobes,string,isa,Robe,string,madeOf,Cotton,string,is,Clothes,string,is,Dark,,,,,,
BlueRobes,It's some blue robes!,string,isa,BlueRobes,string,isa,Robe,string,madeOf,Cotton,string,is,Clothes,string,is,Blue,,,,,,
InsectLeg,It's an insect leg!,string,isa,InsectLeg,string,isa,MonsterPart,string,is,Pointy,,,,,,,,,,,,
MonsterLiver,It's a monster liver!,string,isa,MonsterLiver,string,isa,MonsterPart,,,,,,,,,,,,,,,
Eyeball,It's an eyeball!,string,isa,Eyeball,string,isa,AnimalPart,,,,,,,,,,,,,,,
MonsterEyeball,It's a monster eyeball!,string,isa,MonsterEyeball,string,isa,MonsterPart,,,,,,,,,,,,,,,
DemonEyeball,It's a demon eyeball!,string,isa,DemonEyeball,string,isa,DemonPart,,,,,,,,,,,,,,,
Bone,It's a bone!,string,isa,Bone,string,isa,AnimalPart,string,isa,MonsterPart,,,,,,,,,,,,
AnimalSkull,It's an animal skull!,string,isa,AnimalSkull,string,isa,AnimalPart,string,isa,Bone,,,,,,,,,,,,
Scale,It's a scale!,string,isa,Scale,string,isa,AnimalPart,string,isa,ReptilePart,,,,,,,,,,,,
LizardTail,It's a lizard's tail!,string,isa,LizardTail,string,isa,AnimalPart,string,isa,ReptilePart,,,,,,,,,,,,
Feather,It's a feather!,string,isa,Feather,string,isa,AnimalPart,string,isa,BirdPart,string,is,Light,,,,,,,,,
SpoolOfThread,It's a spool of thread!,string,isa,SpoolOfThread,string,isa,Tool,,,,,,,,,,,,,,,
Wheat,It's some wheat!,string,isa,Wheat,string,isa,Food,string,isa,Grain,string,contains,Gluten,string,isa,Crop,,,,,,
Grass,It's some grass!,string,isa,Grass,string,isa,Plant,string,is,Green,,,,,,,,,,,,
GreenLeaf,It's a green leaf!,string,isa,GreenLeaf,string,isa,Plant,string,isa,Leaf,string,is,Green,string,is,Light,,,,,,
BrownLeaf,It's a brown leaf!,string,isa,BrownLeaf,string,isa,Plant,string,isa,Leaf,string,is,Brown,string,is,Light,,,,,,
BlueLeaf,It's a blue leaf!,string,isa,BlueLeaf,string,isa,Plant,string,isa,Leaf,string,is,Blue,string,is,Light,,,,,,
Acorn,It's an acorn!,string,isa,Acorn,string,isa,Plant,string,isa,Nut,string,is,Brown,,,,,,,,,
Truffle,It's a truffle!,string,isa,Truffle,string,isa,Mushroom,string,is,Valuable,string,is,Stinky,,,,,,,,,
Log,It's a log!,string,isa,Log,string,is,Wood,string,,,,,,,,,,,,,,
Shell,It's a shell!,string,isa,Shell,,,,,,,,,,,,,,,,,,
MilkBottle,It's a bottle of milk!,string,isa,MilkBottle,string,contains,Milk,string,isa,Bottle,string,is,White,string,isa,Drink,string,is,Fragile,,,
Egg,It's an egg!,string,isa,Egg,string,isa,Food,string,is,Fragile,,,,,,,,,,,,
CowHide,It's a cow hide!,string,isa,CowHide,string,madeOf,Leather,string,isa,AnimalPart,,,,,,,,,,,,
Toadstool,It's a toadstool!,string,isa,Toadstool,string,isa,Mushroom,string,is,Poisonous,string,isa,Fungus,,,,,,,,,
PinkPotion,It's a pink potion!,string,isa,PinkPotion,string,is,Magic,string,is,Pink,string,isa,Potion,string,is,Fragile,,,,,,
Mushroom,It's a mushroom!,string,isa,Mushroom,string,isa,Mushroom,string,isa,Food,string,isa,Fungus,,,,,,,,,
PoisonMushroom,It's a poison mushroom!,string,isa,PoisonMushroom,string,isa,Mushroom,string,is,Poisonous,string,isa,Fungus,,,,,,,,,
Rose,It's a rose!,string,isa,Rose,string,isa,Flower,string,isa,Plant,string,is,Red,string,is,Fragile,,,,,,
OrangeFlower,It's an orange flower!,string,isa,OrangeFlower,string,isa,Flower,string,isa,Plant,string,is,Orange,string,is,Fragile,,,,,,
Daisy,It's a daisy!,string,isa,Daisy,string,isa,Flower,string,isa,Plant,string,is,White,string,is,Fragile,,,,,,
Tulip,It's a tulip!,string,isa,Tulip,string,isa,Flower,string,isa,Plant,string,is,Orange,string,is,Fragile,,,,,,
Carrot,It's a carrot!,string,isa,Carrot,string,isa,Vegetable,string,isa,Food,string,is,Orange,,,,,,,,,
Pumpkin,It's a pumpkin!,string,isa,Pumpkin,string,isa,Vegetable,string,isa,Food,string,is,Orange,string,is,Heavy,,,,,,
Broccoli,It's some brocolli!,string,isa,Broccoli,string,isa,Vegetable,string,isa,Food,string,is,Green,string,is,Disgusting,,,,,,
Cucumber,It's a cucumber!,string,isa,Cucumber,string,isa,Vegetable,string,isa,Food,string,is,Green,,,,,,,,,
Corn,It's some corn!,string,isa,Corn,string,isa,Grain,string,isa,Food,string,is,Yellow,,,,,,,,,
Blackberry,It's a blackberry!,string,isa,Blackberry,string,isa,Berry,string,isa,Fruit,string,isa,Food,string,is,Black,,,,,,
Raspberry,It's a raspberry!,string,isa,Raspberry,string,isa,Berry,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,
Orange,It's an orange!,string,isa,Orange,string,isa,Furit,string,isa,Food,string,is,Orange,,,,,,,,,
Blueberry,It's a blueberry!,string,isa,Blueberry,string,isa,Berry,string,isa,Fruit,string,isa,Food,string,is,Blue,,,,,,
Artichoke,It's an artichoke!,string,isa,Artichoke,string,isa,Vegetable,string,isa,Food,string,is,Green,,,,,,,,,
RedGrapes,It's some red grapes!,string,isa,RedGrapes,string,isa,Fruit,string,isa,Food,string,is,Purple,string,isa,Grapes,,,,,,
GreenGrapes,It's some green grapes!,string,isa,GreenGrapes,string,isa,Fruit,string,isa,Food,string,is,Green,string,isa,Grapes,,,,,,
RedPepper,It's a red pepper!,string,isa,RedPepper,string,isa,Vegetable,string,isa,Food,string,is,Red,string,isa,Pepper,,,,,,
OrangePepper,It's a green pepper!,string,isa,OrangePepper,string,isa,Vegetable,string,isa,Food,string,is,Orange,string,isa,Pepper,,,,,,
Cherries,It's some cherries!,string,isa,Cherries,string,isa,Fruit,string,isa,Food,string,is,Red,,,,,,,,,
Lemon,It's a lemon!,string,isa,Lemon,string,isa,Fruit,string,isa,Food,string,is,Yellow,string,is,Sour,,,,,,
Lime,It's a lime!,string,isa,Lime,string,isa,Fruit,string,isa,Food,string,is,Green,string,is,Sour,,,,,,
Coconut,It's a coconut!,string,isa,Coconut,string,isa,Fruit,string,isa,Food,string,is,Brown,,,,,,,,,
SugarCane,It's some sugar cane!,string,isa,SugarCane,string,isa,Plant,string,isa,Crop,,,,,,,,,,,,
Root,It's a root!,string,isa,Root,string,isa,Plant,,,,,,,,,,,,,,,
BowlOfSalad,It's a bowl of salad!,string,isa,BowlOfSalad,string,isa,Bowl,string,isa,Salad,string,isa,Food,string,isa,Container,string,contains,Salad,,,
BowlOfRice,It's a bowl of rice!,string,isa,BowlOfRice,string,isa,Bowl,string,isa,Rice,string,isa,Food,string,isa,Container,string,contains,Rice,,,
BowlOfSoup,It's a bowl of soup!,string,isa,BowlOfSoup,string,isa,Bowl,string,isa,Soup,string,isa,Food,string,isa,Container,string,contains,Soup,,,
BowlOfSpaghetti,It's a bowl of spaghetti!,string,isa,BowlOfSpaghetti,string,isa,Bowl,string,isa,Spaghetti,string,isa,Food,string,isa,Container,string,contains,Spaghetti,,,
BowlOfRamen,It's a bowl of ramen!,string,isa,BowlOfRamen,string,isa,Bowl,string,isa,Ramen,string,isa,Food,string,isa,Container,string,contains,Ramen,,,
FishAndChips,It's some fish and chips!,string,isa,FishAndChips,string,isa,Food,string,contains,Fish,string,contains,Potato,,,,,,,,,
EggsAndBacon,It's some eggs and bacon!,string,isa,EggsAndBacon,string,isa,Food,string,contains,Bacon,string,contains,Eggs,,,,,,,,,
Cake,It's some cake!,string,isa,Cake,string,isa,Food,string,isa,Dessert,string,contains,Gluten,,,,,,,,,
PainAuChocolat,It's a pain au chocolat!,string,isa,PainAuChocolat,string,isa,Food,string,isa,Dessert,string,contains,Gluten,string,isa,Pastry,string,contains,Chocolate,,,
Croissant,It's a croissant!,string,isa,Croissant,string,isa,Food,string,isa,Dessert,string,contains,Gluten,string,isa,Pastry,,,,,,
SliceOfBread,It's a slice of bread!,string,isa,SliceOfBread,string,isa,Food,string,isa,Bread,string,contains,Gluten,,,,,,,,,
BigBowl,It's a big bowl!,string,isa,BigBowl,string,isa,Container,string,is,Fragile,string,contains,Empty,,,,,,,,,
Knife,It's a knife!,string,isa,Knife,string,isa,Tool,string,isa,Weapon,string,isa,Tool,string,is,Sharp,string,isa,Cutlery,string,is,Metal
Fork,It's a fork!,string,isa,Fork,string,isa,Tool,string,isa,Weapon,string,isa,Tool,string,is,Pointy,string,isa,Cutlery,string,is,Metal
Spoon,It's a spoon!,string,isa,Spoon,string,isa,Tool,string,isa,Cutlery,string,is,Metal,,,,,,,,,
Cleaver,It's a cleaver!,string,isa,Cleaver,string,isa,Weapon,string,isa,Tool,string,is,Metal,string,is,Sharp,,,,,,
Moth,It's a moth!,string,isa,Moth,string,isa,Insect,string,is,Brown,string,contains,Wings,string,contains,Legs,,,,,,
Bee,It's a bee!,string,isa,Bee,string,isa,Insect,string,is,Poisonous,string,is,Pointy,string,contains,Wings,string,is,Yellow,string,contains,Legs
Wasp,It's a wasp!,string,isa,Wasp,string,isa,Insect,string,is,Poisonous,string,is,Pointy,string,contains,Wings,string,is,Yellow,string,contains,Legs
FireAnt,It's a fire ant!,string,isa,FireAnt,string,isa,Insect,string,is,Poisonous,string,is,Pointy,string,contains,Legs,string,is,Black,,,
Beetle,It's a beetle!,string,isa,Beetle,string,isa,Insect,string,has,Wings,,,,,,,,,,,,
Spider,It's a spider!,string,isa,Spider,string,isa,Insect,string,has,Legs,string,is,Black,string,is,Scary,,,,,,
Fly,It's a fly!,string,isa,Fly,string,isa,Insect,string,is,Black,string,contains,Wings,string,contains,Legs,,,,,,
