Input1,Input2,Action,Output1,Output2,Output3,Output4
WarriorHelmet isa WarriorHelmet,NPC isa NPC,GiveWarriorHelmet,NPC isa NPC has WarriorHelmet,,,
WizardHat isa WizardHat,NPC isa NPC,GiveWizardHat,NPC isa NPC has WizardHat,,,
Gift isa Gift,NPC isa NPC,GiveGift,NPC isa NPC has Gift,,,
Banana isa Banana,NPC isa NPC,GiveBanana,NPC isa NPC has Banana,,,
WineGlass isa WineGlass,NPC isa NPC,GiveWineGlass,NPC isa NPC has WineGlass,,,
Diamond isa Diamond,NPC isa NPC,GiveDiamond,NPC isa NPC has Diamond,,,
Money isa Money,NPC isa NPC,GiveMoney,NPC isa NPC has Money,,,
Candle isa Candle,NPC isa NPC,GiveCandle,NPC isa NPC has Candle,,,
Bible isa Bible,NPC isa NPC,GiveBible,NPC isa NPC has Bible,,,
Custard isa Custard,NPC isa NPC,GiveCustard,NPC isa NPC has Custard,,,
Egg isa Egg,MilkBottle isa MilkBottle,MakeCustard,Custard isa Custard,,,
StrawberryJam isa StrawberryJam,NPC isa NPC,GiveStrawberryJam,NPC isa NPC has StrawberryJam,,,
Apple isa Apple,NPC isa NPC,GiveApple,NPC isa NPC has Apple,,,
PintOfBeer isa PintOfBeer,NPC isa NPC,GivePintOfBeer,NPC isa NPC has PintOfBeer,,,
LeatherPants isa LeatherPants,NPC isa NPC,GiveLeatherPants,NPC isa NPC has LeatherPants,,,
LeatherShirt isa LeatherShirt,NPC isa NPC,GiveLeatherShirt,NPC isa NPC has LeatherShirt,,,
LeatherGloves isa LeatherGloves,NPC isa NPC,GiveLeatherGloves,NPC isa NPC has LeatherGloves,,,
LeatherBoots isa LeatherBoots,NPC isa NPC,GiveLeatherBoots,NPC isa NPC has LeatherBoots,,,
PinkPotion isa PinkPotion,NPC isa NPC,GivePinkPotion,NPC isa NPC has PinkPotion,,,
Vomit isa Vomit,NPC isa NPC,GiveVomit,NPC isa NPC has Vomit,,,
Lute isa Lute,NPC isa NPC,GiveLute,NPC isa NPC has Lute,,,
Jewellry isa Jewellry,NPC isa NPC,GiveJewellry,NPC isa NPC has Jewellry,,,
MagicBook isa MagicBook,,SummonDemon,MagicBook isa MagicBook,Demon isa Demon,,
SewingNeedle isa SewingNeedle,CowHide isa CowHide,MakeLeatherPants,LeatherPants isa LeatherPants,SewingNeedle isa SewingNeedle,,
SewingNeedle isa SewingNeedle,CowHide isa CowHide,MakeLeatherGloves,LeatherPants isa LeatherGloves,SewingNeedle isa SewingNeedle,,
SewingNeedle isa SewingNeedle,CowHide isa CowHide,MakeLeatherShirt,LeatherPants isa LeatherShirt,SewingNeedle isa SewingNeedle,,
SewingNeedle isa SewingNeedle,CowHide isa CowHide,MakeLeatherBoots,LeatherPants isa LeatherBoots,SewingNeedle isa SewingNeedle,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
g,,,,,,
